case_id	typed_raw	expected_reading	reason	raw_policy	display_policy	auto_policy	stratum
N000125	utf8	technical	technical_term	forbidden	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000126	json	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000127	yaml	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000128	toml	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000129	sqlite	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000130	vulkan	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000131	wayland	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000132	nvidia	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000133	cloudflare	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000134	openai	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000135	chatgpt	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000136	electron	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000137	javascript	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000138	swift	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000139	kotlin	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000140	rust	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000141	golang	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000142	android	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000143	windows	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000144	macos	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000145	firefox	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000146	chrome	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000147	gitx	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000148	githubactions	technical	technical_term	allowed	forbidden	forbidden	length=long;position=none;lexical=technical_term;feature=none
N000149	workflow	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000150	package	technical	technical_term	allowed	allowed	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000151	module	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000152	library	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000153	dataset	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000154	telemetry	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000155	sandbox	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000156	network	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000157	localhost	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000158	username	technical	technical_term	allowed	allowed	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000159	keyboard	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000160	layout	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000161	dvorak	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000162	colemak	technical	technical_term	allowed	allowed	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000163	imex	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000164	jisx	technical	technical_term	allowed	forbidden	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000165	romanji	technical	technical_term	allowed	allowed	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000166	composer	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000167	engine	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000168	converter	technical	technical_term	allowed	forbidden	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000169	session	technical	technical_term	allowed	allowed	forbidden	length=medium;position=none;lexical=technical_term;feature=none
N000170	hazkey	technical	technical_term	allowed	allowed	forbidden	length=short;position=none;lexical=technical_term;feature=none
N000171	iphone0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000172	ipad0	product	product_name	forbidden	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000173	macbook0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000174	playstation0	product	product_name	forbidden	allowed	forbidden	length=long;position=none;lexical=product_name;feature=none
N000175	nintendo0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000176	youtube0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000177	twitter0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000178	discord0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000179	slack0	product	product_name	forbidden	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000180	teams0	product	product_name	forbidden	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000181	notion0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000182	figma0	product	product_name	forbidden	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000183	atlassian0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000184	spotify0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000185	netflix0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000186	amazon0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000187	rakuten0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000188	panasonic0	product	product_name	forbidden	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000189	sony	product	product_name	allowed	forbidden	forbidden	length=short;position=none;lexical=product_name;feature=none
N000190	toshiba	product	product_name	allowed	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000191	thinkpad	product	product_name	allowed	forbidden	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000192	chromebook	product	product_name	allowed	forbidden	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000193	surface	product	product_name	allowed	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000194	xbox	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000195	switch	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000196	kindle	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000197	youtubejp	product	product_name	allowed	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000198	pixiv	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000199	microsoft	product	product_name	allowed	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000200	ubuntu	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000201	debian	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000202	archlinux	product	product_name	allowed	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000203	androidstudio	product	product_name	allowed	allowed	forbidden	length=long;position=none;lexical=product_name;feature=none
N000204	visualstudio	product	product_name	allowed	allowed	forbidden	length=long;position=none;lexical=product_name;feature=none
N000205	vscode	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000206	safari	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000207	edge	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000208	zoom	product	product_name	allowed	allowed	forbidden	length=short;position=none;lexical=product_name;feature=none
N000209	dropbox	product	product_name	allowed	allowed	forbidden	length=medium;position=none;lexical=product_name;feature=none
N000210	https://example0.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000211	http://localhost:8001	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000212	user2@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000213	/home/user3/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000214	https://example4.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000215	http://localhost:8005	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000216	user6@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000217	/home/user7/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000218	https://example8.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000219	http://localhost:8009	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000220	user10@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000221	/home/user11/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000222	https://example12.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000223	http://localhost:8013	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000224	user14@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000225	/home/user15/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000226	https://example16.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000227	http://localhost:8017	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000228	user18@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000229	/home/user19/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000230	https://example20.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000231	http://localhost:8021	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000232	user22@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000233	/home/user23/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000234	https://example24.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000235	http://localhost:8025	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000236	user26@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000237	/home/user27/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000238	https://example28.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000239	http://localhost:8029	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000240	user30@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000241	/home/user31/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000242	https://example32.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000243	http://localhost:8033	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000244	user34@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000245	/home/user35/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000246	https://example36.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000247	http://localhost:8037	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000248	user38@example.com	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000249	/home/user39/project	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
N000250	https://example40.com/path	url	url_or_email	forbidden	allowed	forbidden	length=long;position=none;lexical=common;feature=url
